epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,46999.3,0.32801,1.23741,0.86423,0.40801,0.95486,0.46629,0.39955,0.30043,1.19212,0.84247,6.99132e-05,6.99132e-05,6.99132e-05
91,47181.2,0.31336,1.23254,0.85911,0.41726,0.92652,0.46038,0.39864,0.31045,1.18959,0.84315,6.4092e-05,6.4092e-05,6.4092e-05
92,47370,0.30659,1.22558,0.85005,0.41279,0.95553,0.46575,0.40194,0.29729,1.19038,0.83952,5.82708e-05,5.82708e-05,5.82708e-05
93,47552.6,0.30838,1.23319,0.85913,0.40862,0.95699,0.46698,0.40547,0.27722,1.18526,0.83451,5.24496e-05,5.24496e-05,5.24496e-05
94,47748.2,0.30609,1.22643,0.85463,0.4117,0.95429,0.47024,0.40534,0.28148,1.18892,0.83631,4.66284e-05,4.66284e-05,4.66284e-05
95,48026.5,0.31114,1.21699,0.85852,0.41144,0.9435,0.46779,0.40165,0.2865,1.18769,0.83815,4.08072e-05,4.08072e-05,4.08072e-05
96,48214.4,0.30402,1.23098,0.85784,0.40705,0.93765,0.46902,0.39999,0.28438,1.19119,0.83947,3.4986e-05,3.4986e-05,3.4986e-05
97,48487.8,0.2926,1.20773,0.84399,0.41113,0.9471,0.46918,0.40081,0.29301,1.19032,0.84171,2.91648e-05,2.91648e-05,2.91648e-05
98,48717.6,0.29655,1.20851,0.85242,0.40515,0.96583,0.46699,0.3989,0.29253,1.18691,0.84401,2.33436e-05,2.33436e-05,2.33436e-05
99,48958.4,0.29532,1.2141,0.85705,0.40575,0.96684,0.4677,0.39929,0.29387,1.18421,0.84471,1.75224e-05,1.75224e-05,1.75224e-05
100,49147.4,0.30082,1.20553,0.85644,0.40838,0.95963,0.46643,0.39841,0.29219,1.18594,0.84278,1.17012e-05,1.17012e-05,1.17012e-05
